TaskNumber,Task,Arm,DeterministicScore,CoreArtifactMissing,HardGatePass,FailureCodes,Run1_E,Run1_M,Run1_R,Run1_Read,Run1_Total,Run2_E,Run2_M,Run2_R,Run2_Read,Run2_Total,Run3_E,Run3_M,Run3_R,Run3_Read,Run3_Total,AvgEvidence,AvgMethod,AvgRestraint,AvgReadability,JudgeScore,RawTotal,DisplayResult
1,ls01-grna-offtarget-rank,C0,75,False,False,REPORT_TOP_NOT_EXPLICIT;RISK_CLASS_MISMATCH,5.0,5.0,3.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,4.33,5.0,19.33,94.33,FAIL（49）
1,ls01-grna-offtarget-rank,T0,73,False,False,RATIONALE_CONTEXT_EVIDENCE_MISSING;REPORT_TOP_NOT_EXPLICIT;RISK_CLASS_MISMATCH,5.0,5.0,3.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,4.33,5.0,19.33,92.33,FAIL（49）
1,ls01-grna-offtarget-rank,T1,75,False,False,REPORT_TOP_NOT_EXPLICIT;RISK_CLASS_MISMATCH,5.0,5.0,3.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,4.33,5.0,19.33,94.33,FAIL（49）
2,ls01-primer-transcript-audit,C0,80,False,True,,5.0,5.0,3.0,5.0,18.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,4.33,5.0,18.67,98.67,98.67
2,ls01-primer-transcript-audit,T0,80,False,True,,5.0,5.0,3.0,5.0,18.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,4.33,5.0,18.67,98.67,98.67
2,ls01-primer-transcript-audit,T1,80,False,True,,5.0,5.0,3.0,5.0,18.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,4.33,5.0,18.67,98.67,98.67
3,ls01-vector-orf-audit,C0,63,False,False,AUDIT_DIRECTION_MISMATCH;SCIENTIFIC_AUDIT_MISMATCH,5.0,5.0,5.0,5.0,20.0,3.0,3.0,5.0,5.0,16.0,3.0,3.0,5.0,5.0,16.0,3.67,3.67,5.0,5.0,17.33,80.33,FAIL（49）
3,ls01-vector-orf-audit,T0,63,False,False,AUDIT_DIRECTION_MISMATCH;SCIENTIFIC_AUDIT_MISMATCH,5.0,5.0,5.0,5.0,20.0,3.0,3.0,5.0,5.0,16.0,3.0,3.0,5.0,5.0,16.0,3.67,3.67,5.0,5.0,17.33,80.33,FAIL（49）
3,ls01-vector-orf-audit,T1,63,False,False,AUDIT_DIRECTION_MISMATCH;SCIENTIFIC_AUDIT_MISMATCH,5.0,5.0,5.0,5.0,20.0,3.0,3.0,5.0,5.0,16.0,3.0,3.0,5.0,5.0,16.0,3.67,3.67,5.0,5.0,17.33,80.33,FAIL（49）
4,ls02-deleterious-mutation,C0,77,False,False,REPORT_MISMATCH,3.0,0.0,3.0,3.0,9.0,3.0,0.0,3.0,5.0,11.0,3.0,0.0,3.0,5.0,11.0,3.0,0.0,3.0,4.33,10.33,87.33,FAIL（49）
4,ls02-deleterious-mutation,T0,77,False,False,REPORT_MISMATCH,3.0,0.0,3.0,5.0,11.0,3.0,0.0,3.0,5.0,11.0,3.0,0.0,3.0,5.0,11.0,3.0,0.0,3.0,5.0,11.0,88.0,FAIL（49）
4,ls02-deleterious-mutation,T1,74,False,False,LOF_INTOLERANCE_SUPPORT_MISSING;REPORT_MISMATCH,3.0,0.0,3.0,5.0,11.0,3.0,0.0,5.0,5.0,13.0,3.0,0.0,5.0,5.0,13.0,3.0,0.0,4.33,5.0,12.33,86.33,FAIL（49）
5,ls02-find-deletion,C0,57,False,False,DELETION_DIRECTION_UNSUPPORTED;FATAL_GROUNDED_DEPTH_EVIDENCE;REPORT_SCIENCE_MISMATCH,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,77.0,FAIL（49）
5,ls02-find-deletion,T0,57,False,False,DELETION_DIRECTION_UNSUPPORTED;FATAL_GROUNDED_DEPTH_EVIDENCE;REPORT_SCIENCE_MISMATCH,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,77.0,FAIL（49）
5,ls02-find-deletion,T1,57,False,False,DELETION_DIRECTION_UNSUPPORTED;FATAL_GROUNDED_DEPTH_EVIDENCE;REPORT_SCIENCE_MISMATCH,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,77.0,FAIL（49）
6,ls02-infer-genome-build,C0,36,False,False,FATAL_DISCRIMINATING_REFERENCE_EVIDENCE;FATAL_GROUNDED_POSITIVE_EVIDENCE;PARTIAL_DIRECTION_OR_CONFIDENCE;PARTIAL_GROUNDED_ANCHOR_COVERAGE;PARTIAL_REPORT_SUMMARY,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,56.0,FAIL（49）
6,ls02-infer-genome-build,T0,36,False,False,FATAL_DISCRIMINATING_REFERENCE_EVIDENCE;FATAL_GROUNDED_POSITIVE_EVIDENCE;PARTIAL_DIRECTION_OR_CONFIDENCE;PARTIAL_GROUNDED_ANCHOR_COVERAGE;PARTIAL_REPORT_SUMMARY,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,56.0,FAIL（49）
6,ls02-infer-genome-build,T1,36,False,False,FATAL_DISCRIMINATING_REFERENCE_EVIDENCE;FATAL_GROUNDED_POSITIVE_EVIDENCE;PARTIAL_DIRECTION_OR_CONFIDENCE;PARTIAL_GROUNDED_ANCHOR_COVERAGE;PARTIAL_REPORT_SUMMARY,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,56.0,FAIL（49）
7,ls03-atac-sample-swap,C0,20,False,False,INPUT_GROUNDING_FAILED;REPORT_MISMATCH;SIMILARITY_TABLE_INSUFFICIENT;UNCERTAINTY_NOT_JUSTIFIED;UNSUPPORTED_SWAP_DIRECTION,5.0,3.0,3.0,5.0,16.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,4.33,5.0,18.67,38.67,FAIL（38.67）
7,ls03-atac-sample-swap,T0,20,False,False,INPUT_GROUNDING_FAILED;REPORT_MISMATCH;SIMILARITY_TABLE_INSUFFICIENT;UNCERTAINTY_NOT_JUSTIFIED;UNSUPPORTED_SWAP_DIRECTION,5.0,3.0,3.0,5.0,16.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,4.33,5.0,18.67,38.67,FAIL（38.67）
7,ls03-atac-sample-swap,T1,20,False,False,INPUT_GROUNDING_FAILED;REPORT_MISMATCH;SIMILARITY_TABLE_INSUFFICIENT;UNCERTAINTY_NOT_JUSTIFIED;UNSUPPORTED_SWAP_DIRECTION,5.0,5.0,3.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,4.33,5.0,19.33,39.33,FAIL（39.33）
8,ls03-cryptic-exon,C0,47,False,False,DIRECTION_INCOMPLETE;FATAL_TWO_JUNCTION_SUPPORT;SUMMARY_INCOMPLETE,3.0,3.0,3.0,5.0,14.0,5.0,5.0,5.0,5.0,20.0,3.0,3.0,3.0,5.0,14.0,3.67,3.67,3.67,5.0,16.0,63.0,FAIL（49）
8,ls03-cryptic-exon,T0,47,False,False,DIRECTION_INCOMPLETE;FATAL_TWO_JUNCTION_SUPPORT;SUMMARY_INCOMPLETE,3.0,3.0,3.0,5.0,14.0,5.0,5.0,5.0,5.0,20.0,3.0,3.0,3.0,5.0,14.0,3.67,3.67,3.67,5.0,16.0,63.0,FAIL（49）
8,ls03-cryptic-exon,T1,47,False,False,DIRECTION_INCOMPLETE;FATAL_TWO_JUNCTION_SUPPORT;SUMMARY_INCOMPLETE,3.0,3.0,3.0,5.0,14.0,5.0,5.0,5.0,5.0,20.0,3.0,3.0,3.0,5.0,14.0,3.67,3.67,3.67,5.0,16.0,63.0,FAIL（49）
9,ls03-genome-coordinates,C0,32,False,False,CELL_DISTANCE_MISMATCH;CONTACT_THRESHOLD_METRICS_MISMATCH;FATAL_AUTHORIZED_TRUTH_AVAILABLE;FATAL_CORE_RESULTS_GROUNDED;LAG_ASSOCIATION_MISMATCH;LAG_N_OBSERVATIONS_MISMATCH;REPORT_SUMMARY_INCOMPLETE;TRANSCRIPTION_METRICS_MISMATCH,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,3.0,3.0,5.0,5.0,16.0,4.33,4.33,5.0,5.0,18.67,50.67,FAIL（49）
9,ls03-genome-coordinates,T0,24,False,False,CELL_DISTANCE_MISMATCH;CONTACT_THRESHOLD_METRICS_MISMATCH;FATAL_AUTHORIZED_TRUTH_AVAILABLE;FATAL_CAUSAL_INTERPRETATION_SAFE;FATAL_CORE_RESULTS_GROUNDED;LAG_ASSOCIATION_MISMATCH;LAG_N_OBSERVATIONS_MISMATCH;REPORT_SUMMARY_INCOMPLETE;TRANSCRIPTION_METRICS_MISMATCH,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,3.0,3.0,5.0,5.0,16.0,4.33,4.33,5.0,5.0,18.67,42.67,FAIL（42.67）
9,ls03-genome-coordinates,T1,32,False,False,CELL_DISTANCE_MISMATCH;CONTACT_THRESHOLD_METRICS_MISMATCH;FATAL_AUTHORIZED_TRUTH_AVAILABLE;FATAL_CORE_RESULTS_GROUNDED;LAG_ASSOCIATION_MISMATCH;LAG_N_OBSERVATIONS_MISMATCH;REPORT_SUMMARY_INCOMPLETE;TRANSCRIPTION_METRICS_MISMATCH,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,52.0,FAIL（49）
10,ls04-differential-composition,C0,49,False,False,REPORT_SCIENTIFIC_SUMMARY_INCOMPLETE;SAMPLE2_DEPLETION_NOT_ESTABLISHED;UNSUPPORTED_HORIZONTAL_IDENTITY,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,69.0,FAIL（49）
10,ls04-differential-composition,T0,49,False,False,REPORT_SCIENTIFIC_SUMMARY_INCOMPLETE;SAMPLE2_DEPLETION_NOT_ESTABLISHED;UNSUPPORTED_HORIZONTAL_IDENTITY,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,69.0,FAIL（49）
10,ls04-differential-composition,T1,49,False,False,REPORT_SCIENTIFIC_SUMMARY_INCOMPLETE;SAMPLE2_DEPLETION_NOT_ESTABLISHED;UNSUPPORTED_HORIZONTAL_IDENTITY,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,69.0,FAIL（49）
11,ls04-perturbseq-reference-map,C0,71,False,False,AMBIGUITY_QUANTIFICATION_MISMATCH;CONFIDENCE_ORDER_MISMATCH;REPORT_SCIENTIFIC_SUMMARY_UNGROUNDED,3.0,0.0,3.0,5.0,11.0,5.0,5.0,5.0,5.0,20.0,5.0,3.0,3.0,5.0,16.0,4.33,2.67,3.67,5.0,15.67,86.67,FAIL（49）
11,ls04-perturbseq-reference-map,T0,67,False,False,AMBIGUITY_QUANTIFICATION_MISMATCH;CONFIDENCE_ORDER_MISMATCH;NUMERIC_ALIGNMENT_EVIDENCE_UNGROUNDED;REPORT_SCIENTIFIC_SUMMARY_UNGROUNDED,3.0,0.0,3.0,5.0,11.0,5.0,5.0,5.0,5.0,20.0,5.0,3.0,3.0,5.0,16.0,4.33,2.67,3.67,5.0,15.67,82.67,FAIL（49）
11,ls04-perturbseq-reference-map,T1,71,False,False,AMBIGUITY_QUANTIFICATION_MISMATCH;CONFIDENCE_ORDER_MISMATCH;REPORT_SCIENTIFIC_SUMMARY_UNGROUNDED,3.0,0.0,3.0,5.0,11.0,5.0,5.0,5.0,5.0,20.0,5.0,3.0,3.0,5.0,16.0,4.33,2.67,3.67,5.0,15.67,86.67,FAIL（49）
12,ls04-spatial-deconvolution,C0,79,False,True,,5.0,0.0,3.0,5.0,13.0,5.0,5.0,5.0,5.0,20.0,5.0,3.0,3.0,5.0,16.0,5.0,2.67,3.67,5.0,16.33,95.33,95.33
12,ls04-spatial-deconvolution,T0,79,False,True,,5.0,0.0,3.0,5.0,13.0,5.0,5.0,5.0,5.0,20.0,5.0,3.0,3.0,5.0,16.0,5.0,2.67,3.67,5.0,16.33,95.33,95.33
12,ls04-spatial-deconvolution,T1,79,False,True,,5.0,0.0,3.0,5.0,13.0,5.0,5.0,5.0,5.0,20.0,5.0,3.0,3.0,5.0,16.0,5.0,2.67,3.67,5.0,16.33,95.33,95.33
13,ls05-protein-shape,C0,10,False,False,FATAL_ORIENTATION_UNGROUNDED;FATAL_SHAPE_IDENTITY_MISMATCH;ORIENTATION_INCOMPLETE,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,5.0,5.0,19.33,29.33,FAIL（29.33）
13,ls05-protein-shape,T0,10,False,False,FATAL_ORIENTATION_UNGROUNDED;FATAL_SHAPE_IDENTITY_MISMATCH;ORIENTATION_INCOMPLETE,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,5.0,5.0,19.33,29.33,FAIL（29.33）
13,ls05-protein-shape,T1,10,False,False,FATAL_ORIENTATION_UNGROUNDED;FATAL_SHAPE_IDENTITY_MISMATCH;ORIENTATION_INCOMPLETE,5.0,5.0,3.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,4.33,5.0,19.33,29.33,FAIL（29.33）
14,ls05-structure-model-ranking,C0,80,False,True,,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,5.0,5.0,19.33,99.33,99.33
14,ls05-structure-model-ranking,T0,80,False,True,,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,5.0,5.0,19.33,99.33,99.33
14,ls05-structure-model-ranking,T1,80,False,True,,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,5.0,20.0,5.0,4.33,5.0,5.0,19.33,99.33,99.33
15,ls05-low-confidence-pocket,C0,75,False,False,REPORT_OVERCLAIM_OR_INCONSISTENT,5.0,3.0,5.0,5.0,18.0,5.0,3.0,5.0,5.0,18.0,5.0,0.0,5.0,5.0,15.0,5.0,2.0,5.0,5.0,17.0,92.0,FAIL（49）
15,ls05-low-confidence-pocket,T0,75,False,False,REPORT_OVERCLAIM_OR_INCONSISTENT,5.0,3.0,5.0,5.0,18.0,5.0,3.0,5.0,5.0,18.0,5.0,5.0,5.0,5.0,20.0,5.0,3.67,5.0,5.0,18.67,93.67,FAIL（49）
